! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 9:44:50
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,-1.20399888370E+00,-5.22510959249E+00,+2.69957783125E+01,-1.89179125877E+01
4.53868194842E+09,+5.58839572634E+00,-1.19281104559E+00,+1.15870374361E+02,+1.55023947652E+02
4.57736389685E+09,+7.72070672898E+00,-2.16694022703E+00,+1.01792824814E+02,-1.83290379313E+01
4.61604584527E+09,-2.98496125144E+00,+4.10298231435E+00,+1.64820411581E+02,-4.35880710447E+01
4.65472779370E+09,-8.04603837764E+00,-3.04228147600E+00,-5.20897089436E+00,+1.13468275803E+02
4.69340974212E+09,+6.83935434489E+00,+1.51291042684E+00,-3.77995303623E+01,-2.16421668865E+01
4.73209169054E+09,-2.61685519373E+00,+7.62869450907E-02,+2.00156458373E+01,-5.94109758738E+01
4.77077363897E+09,+5.96307103583E+00,+2.26294429535E+01,-1.64766994293E+01,+1.65490247230E+02
4.80945558739E+09,-9.01860961290E+00,-8.70715102807E+00,+1.28187383501E+02,+1.42086671294E+02
4.84813753582E+09,-5.38533002189E+00,+2.09969314370E-01,+1.77382497361E+02,+1.76948940557E+00
4.88681948424E+09,-5.86500028388E+00,-8.31915862223E+00,+1.19462014491E+02,-5.14779058457E+01
4.92550143266E+09,-3.31503719754E+00,-8.17925826959E+00,+1.18213747302E+02,+1.61919015588E+02
4.96418338109E+09,-5.42320896190E+00,-1.44292293028E+01,+9.38103519632E+01,+3.02917024352E+01
5.00286532951E+09,-1.19613478124E+01,-1.46509680142E+01,-2.91873578395E+01,-6.76350144883E+01
5.04154727794E+09,+3.45502748462E+00,-4.82067931114E+00,-7.15285974912E+01,-5.75027168720E+01
5.08022922636E+09,+2.28141726890E+01,-1.01609462295E+01,-1.34066568066E+02,-3.63344597373E+01
5.11891117479E+09,+2.61652693701E+00,-1.54985450076E+01,-1.52505594075E+02,+1.68444375604E+01
5.15759312321E+09,+9.84704958830E+00,+4.02160684282E+00,+1.11515930480E+02,+4.06834046655E+01
5.19627507163E+09,-8.21474338276E+00,-2.98074349219E+00,-6.71683416083E+01,+8.78051772290E+01
5.23495702006E+09,-1.84569018566E+01,-1.87482942765E+01,-6.30237106771E+01,-5.41866372572E+01
5.27363896848E+09,-2.69614654796E+00,-1.68732813257E+00,+1.75482484216E+02,-1.68126706470E+02
5.31232091691E+09,+2.02822450483E-01,-2.82357283176E+00,+2.50613378874E+01,-1.10578483186E+02
5.35100286533E+09,+6.04796153547E+00,-4.31434590782E+00,-7.23815472188E+00,+9.03885828804E+00
5.38968481375E+09,+5.79045928981E+00,+2.41629590967E+00,-2.19986108656E+01,+3.02987458239E+01
5.42836676218E+09,+1.27737911004E+01,+1.87624402791E+01,+1.22876543915E+02,-7.38816620364E+00
5.46704871060E+09,+1.23102316591E+01,+5.61779091332E+00,-5.21667659030E+01,-7.26721900849E+01
5.50573065903E+09,+4.10428560788E-01,+3.98020602647E+00,+1.77643205000E+01,-1.15673341348E+02
5.54441260745E+09,-2.07622786216E+00,-9.54087591908E+00,+1.21557156758E+02,-8.22184078033E+00
5.58309455587E+09,-4.64631275699E+00,-8.32199510043E+00,+1.11742538074E+02,-1.80321959000E+00
5.62177650430E+09,-5.87039548244E+00,-9.66444997805E+00,-1.17685022911E+02,-1.17692397800E+02
5.66045845272E+09,+2.57088637332E+00,-1.09835769937E+01,+1.11746829883E+02,+1.26871172351E+01
5.69914040115E+09,-1.00776852844E+01,-1.03996474601E+01,-4.83895610118E+01,-1.18392642489E+02
5.73782234957E+09,+2.02088937260E+00,+1.19563667876E+00,-1.04126086775E+01,+4.44813846920E+01
5.77650429799E+09,+9.61553066895E+00,+1.21636649008E+01,-5.70336136021E+01,-1.43426714022E+02
5.81518624642E+09,-5.31729555066E+00,+7.09378458946E-01,-5.27077669501E+01,-1.16314247958E+02
5.85386819484E+09,+2.11838213704E+00,+1.31648271491E+00,+1.04305691449E+02,-1.71084049332E+01
5.89255014327E+09,-9.07572666376E+00,+2.74287827201E+00,-6.17816263402E+00,+2.75225182799E+01
5.93123209169E+09,-8.72626405004E-01,-2.76142332760E+00,-5.88599445422E+00,-3.10152896832E+01
5.96991404011E+09,-4.22754269434E+00,-1.08828284412E+01,+3.79988340095E+01,-4.44734834771E+01
6.00859598854E+09,-3.76433594452E-01,-1.52268273813E+00,+4.13724655434E+00,-6.97263500369E+00
6.04727793696E+09,-6.28836884237E+00,-5.82793770018E+00,-1.97316915594E+01,-1.16143207158E+01
6.08595988539E+09,-3.79482600596E+00,-4.17243816531E+00,-1.53233409062E+01,+8.51595317807E+01
6.12464183381E+09,-4.20498236535E+00,-6.17813443631E+00,-6.92719755782E+00,+2.73327550225E+01
6.16332378223E+09,-4.12672287926E-01,-3.22025235309E+00,+1.09932726387E+01,+6.12096874566E+01
6.20200573066E+09,+5.05089768634E+00,+2.80962560023E+00,+2.13814408956E+01,-1.28482130342E+01
6.24068767908E+09,+7.93569774948E-01,+1.27331377705E+00,-5.50219449018E+01,-6.75701649175E+01
6.27936962751E+09,+8.76191311282E-01,-2.36738194189E+00,-8.25544208914E+00,+2.31625866445E+01
6.31805157593E+09,-6.87348203118E-01,+1.17001289003E+00,-9.43972349606E+00,-2.73319417652E+01
6.35673352436E+09,-1.44427748787E+00,-2.39862437959E-01,+3.78673763934E+01,-2.40110790856E+01
6.39541547278E+09,-1.16817376020E+00,-9.20978149082E-01,+2.57383038932E+01,+4.89357239691E-02
6.43409742120E+09,-1.81105727462E+00,-4.73668591001E-02,-1.87719023846E+01,-3.11229043115E+00
6.47277936963E+09,+3.99293817851E-01,-1.26660346439E+00,+5.10374722905E-01,-2.36657401612E+01
6.51146131805E+09,+1.46171056171E+00,-8.52313592017E-02,+2.12874237512E+00,-2.05937058845E+01
6.55014326648E+09,-7.36002341300E-01,-1.77811174140E+00,+6.86684925464E+00,-8.92669439314E+00
6.58882521490E+09,+3.84314276987E-01,+6.03933395760E-01,-3.23017180550E+01,-1.34301675249E+01
6.62750716332E+09,-1.18135896710E+00,-2.03156979349E+00,-1.97936314772E+01,+1.50524307226E+01
6.66618911175E+09,+7.30153438712E-01,-1.00370109133E+00,-9.26586960710E+00,+6.18279232313E+00
6.70487106017E+09,+3.06290988709E-01,-8.75566358267E-01,-6.83430576596E+00,-2.15532889456E+01
6.74355300860E+09,-8.19187704854E-01,-1.15289907375E+00,+1.21406899343E+01,+1.53098665286E+00
6.78223495702E+09,-3.41111065561E-01,-1.02829324829E+00,-1.07248620630E+01,-5.13265081174E+00
6.82091690544E+09,-9.31840612781E-02,-1.47422784562E+00,-3.15993532733E+00,+5.99046440042E+00
6.85959885387E+09,+8.26034244441E-01,+9.22720915381E-01,-5.42117149689E+00,-1.52754690112E+01
6.89828080229E+09,-2.36502123341E-01,-1.25433304061E+00,+8.78994251279E-01,-2.21489784591E+00
