! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:21:55
! Stimulus(Гц),    S21(дБ),           S12(дБ),           S21(°),            S12(°)
4.50000000000E+09,+6.60613991878E-01,-4.10278012235E+00,+1.68110909261E+02,+5.44286478637E+01
4.53868194842E+09,+4.14426615938E-01,+3.81640901151E+00,-6.09719662952E+00,-1.40299654627E+02
4.57736389685E+09,+4.33555643447E+00,-1.53017761709E+01,-1.19089616017E+02,-1.11597675499E+02
4.61604584527E+09,+3.18488703502E+00,+5.61857793711E+00,-8.90502605319E+01,-8.15329328997E+01
4.65472779370E+09,-1.38410086339E+01,-1.72154667707E+01,-1.10530383338E+01,+8.36256210813E+01
4.69340974212E+09,-5.13057289055E-01,-3.72057969018E+00,+1.38986339712E+02,+6.59194156894E+01
4.73209169054E+09,-1.23325920574E+00,-6.09602701362E+00,+3.83601511531E+01,+1.31508504950E+02
4.77077363897E+09,+1.56288191574E+01,+7.73792267701E+00,+1.11736523825E+00,+1.69544463397E+02
4.80945558739E+09,+9.46770220411E+00,-7.16086800804E+00,-1.38184212516E+02,+1.26261758803E+02
4.84813753582E+09,-3.50599875340E+00,-7.84499123734E+00,+3.38142937535E+01,+4.43838837451E+01
4.88681948424E+09,-1.16261542536E+01,+5.80343642624E+00,+5.70957849124E+01,+3.76449311493E+01
4.92550143266E+09,-5.85807908642E+00,+1.70412406549E+01,-7.77245765883E+01,+1.75073510787E+02
4.96418338109E+09,-8.08862060452E-01,+1.20478667824E+01,+2.82399697933E+01,-1.70119274640E+01
5.00286532951E+09,+8.37288792908E+00,+5.04304855413E+00,-1.18119494594E+00,-2.25251675768E+01
5.04154727794E+09,-3.63233824161E+00,+9.87297362263E+00,+5.20399977695E+01,+4.72425837279E+01
5.08022922636E+09,+1.04800834639E+00,-1.23104485568E+00,+3.53660344832E+01,+2.54539761004E+01
5.11891117479E+09,-9.30211414153E+00,-3.66088655794E+00,+2.46908012018E+01,+1.06104387430E+02
5.15759312321E+09,-5.78649089787E+00,+4.22658847540E+00,+6.39900264835E+01,-1.75019318383E+02
5.19627507163E+09,+2.84604100416E-01,+3.43022538114E-01,-1.73978574137E+02,-7.11210360420E+01
5.23495702006E+09,-9.74938795039E+00,-5.84015046469E-01,+5.28428478620E+01,+1.19007852336E+02
5.27363896848E+09,+6.42944578188E+00,+6.64272055109E+00,+7.87646912106E+01,-5.74630295602E+01
5.31232091691E+09,-1.48267356643E+00,-1.19918733203E+01,+4.19346744481E+00,-2.08949392203E+01
5.35100286533E+09,+1.37551702783E+01,+2.98771076518E-01,+1.38064514673E+02,-8.08368474766E+01
5.38968481375E+09,-2.37649161120E+01,-8.50032614083E+00,-9.78490564944E+00,-1.66070379380E+01
5.42836676218E+09,-8.09198944145E+00,+1.11605791803E+00,-1.64694440528E+02,+3.72888785435E+01
5.46704871060E+09,+8.96413261917E+00,+7.34842657058E+00,-1.29913418185E+02,+9.58044598187E+01
5.50573065903E+09,+5.81408732766E+00,-4.65735712098E+00,+4.81998015479E+01,-1.19592146050E+02
5.54441260745E+09,+7.07257025924E-01,-3.88724388611E+00,-1.15183127931E+02,-1.17614802167E+02
5.58309455587E+09,-3.95073031751E+00,+1.25012605274E+01,+1.83529325568E+01,+9.47512004361E+01
5.62177650430E+09,-6.24848956117E-01,-1.87296775906E+01,-7.06214996920E+01,-1.11245119692E+02
5.66045845272E+09,-4.77477532108E+00,-4.65854592583E+00,+2.91702258522E+01,-1.16204015637E+02
5.69914040115E+09,+9.94585847173E+00,+4.12728356899E+00,+1.21208259331E+01,+1.16478868331E+02
5.73782234957E+09,-3.22068305333E+00,+4.47742314336E+00,+8.39852587709E+00,+6.25824970808E+01
5.77650429799E+09,+7.72332207660E+00,+3.45304336657E+00,+5.27342219075E+01,-3.50769192568E+01
5.81518624642E+09,-5.22881862611E+00,-8.80330364107E-01,-3.95996048638E+01,+3.32674922196E+01
5.85386819484E+09,-6.92074559371E-01,+6.15766074636E-02,-1.83318388608E+01,+6.04551294720E+01
5.89255014327E+09,-5.61753095021E+00,-1.21496432229E+01,-3.73549505432E+01,-4.15125955677E+01
5.93123209169E+09,+6.86725746458E+00,-1.15942198704E+01,+5.37409619916E+01,-9.30922295760E+01
5.96991404011E+09,+2.24401136617E+00,+1.63352424706E+00,+1.01402079641E+01,+4.47501716708E+01
6.00859598854E+09,+4.29449678757E+00,-5.93460533064E+00,+4.41219802436E+00,-1.61093994419E+01
6.04727793696E+09,+5.25970064685E+00,-6.76746289281E+00,-2.15208829207E+01,-4.37287931070E+01
6.08595988539E+09,+2.42323024079E+00,-5.35938013930E-03,+1.80831519276E+01,+2.28245195799E+00
6.12464183381E+09,+3.24969940168E+00,+3.02334806744E+00,+2.45542515070E+01,+7.05571040287E+01
6.16332378223E+09,-1.81460365965E+00,-2.52441921932E+00,+2.33158570492E+01,-2.21820154213E+01
6.20200573066E+09,+9.15943709318E-01,-1.81805537499E+00,+4.93465742304E+01,-2.45230708227E+01
6.24068767908E+09,+1.96491788440E-01,-1.47310977555E+00,-1.31787749921E+01,+2.17112327320E+01
6.27936962751E+09,+2.38294833921E+00,-2.50144624587E+00,-4.73128023387E+00,-1.79894909391E+01
6.31805157593E+09,+3.48728119970E+00,+1.21204299298E+00,+2.38846727943E+01,-2.40631265812E+01
6.35673352436E+09,+5.55628099561E-02,-3.28773962258E-01,-1.17656728343E+01,-1.47034772129E+01
6.39541547278E+09,+1.66665033415E+00,+1.01118005332E+00,-9.95410468334E-01,-1.30183940786E+00
6.43409742120E+09,-1.62560825986E+00,-7.76880082488E-01,+1.60827001380E+01,+2.33044025871E+01
