! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:23:02
! Stimulus(Гц),    S12(дБ),           S12(дБ),           S12(°),            S12(°)
4.50000000000E+09,-8.22167110731E+00,-4.68289647424E+00,+7.94500403571E+00,+3.28470476822E+01
4.53868194842E+09,+9.57828744924E-01,+3.36179300771E+00,-1.06907439342E+00,-2.87266898986E+00
4.57736389685E+09,+9.35760799578E+00,-1.20618018463E+01,-4.04484742681E+01,-1.94952078714E+01
4.61604584527E+09,+2.99398102094E+00,+4.16808496277E+00,-1.20071195266E+02,+1.20389775983E+02
4.65472779370E+09,+2.41865622256E+00,-1.80483855858E+00,+4.78284386359E+00,-1.57675020383E+02
4.69340974212E+09,-6.21125471176E+00,+3.14461245334E+00,-1.44464932842E+02,+7.45783571694E+01
4.73209169054E+09,-8.91493662899E+00,-9.00263294039E+00,+2.71452280271E+01,-6.58987930205E+00
4.77077363897E+09,+1.30786570870E+01,+8.18727001199E+00,-6.56602102285E+01,-1.65848714749E+02
4.80945558739E+09,-1.78577863228E+01,-2.22525611968E+01,+1.55281785552E+02,-9.00899662436E+01
4.84813753582E+09,-1.34151711200E+01,-1.76856219825E+01,-6.22134247721E+01,+6.92692975726E+01
4.88681948424E+09,-1.25709564632E+01,-9.35627367292E+00,+1.11721377779E+02,-5.83740152286E+01
4.92550143266E+09,-4.80931946996E+00,+2.20697148948E+01,+9.90689906439E-01,+9.73797413131E+01
4.96418338109E+09,+7.77424655223E+00,+2.29839890877E+01,+9.60297782737E+00,+7.02965891406E+00
5.00286532951E+09,+3.04669995660E+00,+3.42714712455E+00,-8.26884586916E+00,-1.81200795689E+01
5.04154727794E+09,-3.01927194773E+00,+8.42127937282E+00,+2.43385743966E+01,+9.59943625046E+01
5.08022922636E+09,+3.11268895925E+00,-3.42560925031E+00,-1.39524911827E+02,+4.47727449533E+01
5.11891117479E+09,-6.13847888665E+00,-6.24190117221E+00,+1.42702925828E+02,-8.30894307969E+01
5.15759312321E+09,-1.11433448287E+01,-9.23312843589E+00,+1.02436563579E+02,+6.37910937151E+01
5.19627507163E+09,-1.94117548811E+00,+3.10185844706E+00,-1.69132375737E+01,-6.17879298893E+01
5.23495702006E+09,-5.92259637532E+00,-9.38604865165E-01,+1.52458174437E+02,+1.44994332409E+02
5.27363896848E+09,+8.80772459837E+00,+7.83220177707E+00,+1.32859874469E+02,+1.64133660380E+02
5.31232091691E+09,+3.02408839702E-01,-7.94261432033E+00,+1.69789620326E+02,-1.65990404226E+02
5.35100286533E+09,+1.32293707624E+01,+5.79980163317E+00,+1.06600395382E+02,-2.45896118436E+00
