! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:18:18
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,-2.17364866147E+00,+9.12039232902E+00,+1.10369921869E+01,-1.31714112810E+01
4.53868194842E+09,+6.51617011939E+00,+4.79431793483E+00,-4.38892836617E+00,-1.68191113915E+02
4.57736389685E+09,+1.55452653318E+01,+3.09063414479E+01,-2.53572634824E+01,-6.19621015660E+01
4.61604584527E+09,+9.25651281806E+00,-1.31557290850E+00,-1.14549570956E+02,-1.77216930442E+02
4.65472779370E+09,-1.08578749382E+01,-1.13577066180E+01,+6.21601849233E+01,+6.11460389271E+01
4.69340974212E+09,+3.90622063890E+00,-8.48135345656E-01,-4.46323441170E+01,-3.33590398087E+01
4.73209169054E+09,+1.37290798620E+01,+1.07658073261E+01,+1.57950278706E+02,+1.04078399111E+02
4.77077363897E+09,-1.31673538836E+00,+9.25520038972E+00,+3.44763367529E+01,-1.41350440534E+02
4.80945558739E+09,+3.60385060234E+00,+2.04388536400E+01,+1.48639344311E+02,-1.59956593739E+02
4.84813753582E+09,+1.00953746014E+01,+9.60699097897E+00,+1.76962155053E+02,+8.30117803889E+01
4.88681948424E+09,-9.28738953741E+00,+1.64058611821E+01,+5.25956540015E+01,-7.78918200094E+01
4.92550143266E+09,+1.65020066343E+01,+6.22711356262E+00,+4.10523250514E+01,+1.05179851059E+01
4.96418338109E+09,-8.12037524756E-01,+2.87916566996E+00,-1.49838899428E+02,+1.15870943121E+02
5.00286532951E+09,-3.82523021321E+00,-4.41311010671E-01,-1.18496528447E+02,-6.01923097126E+01
5.04154727794E+09,+1.55439276948E+01,+4.72299535363E+00,+1.12013031227E+02,-1.52282335011E+02
5.08022922636E+09,-6.66639378475E-02,-7.83910417569E+00,+3.40575320228E+01,+4.66759921289E+01
5.11891117479E+09,+1.59067100414E+01,+2.00129073168E+00,-2.07327803879E+01,-1.43197273359E+02
5.15759312321E+09,-1.17293293057E+01,-4.19636142251E+00,+3.45498243385E+01,-1.55052642903E+02
5.19627507163E+09,-1.55181736360E+01,-1.56136846718E+01,-1.11076826204E+02,+6.04382554585E+01
5.23495702006E+09,+2.13599648562E+01,+1.01453852432E+01,-9.83211437252E+01,-1.35833205532E+00
5.27363896848E+09,+1.14314086817E+00,-1.49704213725E+00,+1.72977603343E+02,+1.49608633331E+02
5.31232091691E+09,+6.18351080921E+00,+6.01945799642E-01,+5.01182192091E+01,+3.26564737836E+01
5.35100286533E+09,-1.00219562565E+01,-5.78989927926E+00,-2.17922921162E+01,-5.05009827837E+00
5.38968481375E+09,+2.36861856642E+00,-8.95945846520E+00,-1.05316577749E+02,-9.37555485155E+01
5.42836676218E+09,+4.26593377716E-01,+1.61519122406E+01,+1.31689981208E+01,+1.24969094327E+02
5.46704871060E+09,-1.47610826035E+01,-1.61728002524E+01,-5.42166561765E+01,-6.74382250264E+01
5.50573065903E+09,-6.35724113058E+00,-2.17058408842E+00,-3.99339145051E+01,-1.68066524735E+02
5.54441260745E+09,-1.89041773421E+00,+6.21539483430E+00,-2.60900756798E+01,-4.81687959860E+00
5.58309455587E+09,-4.46945955990E+00,-1.02284605334E+01,+8.85561322139E+01,-1.12743574242E+02
5.62177650430E+09,-1.89630413750E+00,-2.48260467596E-01,-1.55769189714E+01,-1.00350770161E+01
5.66045845272E+09,-9.11800296926E+00,+7.64247388182E+00,-6.17500044092E+01,+1.22849504340E+02
5.69914040115E+09,-1.24213864435E-01,-2.87702436250E+00,-1.25114679414E+02,-8.65794466906E+01
5.73782234957E+09,-6.08506834083E+00,-1.74527462308E+00,-3.89219696922E+01,-4.17650275482E+01
5.77650429799E+09,+7.42587921215E-01,+6.32932476949E+00,-3.24828429646E+00,+2.68403701698E+01
5.81518624642E+09,+8.53416206351E-01,-1.50427689224E+00,-3.69018260283E+01,-1.75987937678E+01
5.85386819484E+09,+4.02451035732E+00,+1.80408670028E+00,-1.45167168606E+01,+6.51696454662E+01
5.89255014327E+09,-2.48476458311E+00,-4.78537199351E+00,+1.13730318361E+02,-2.88237189017E+01
5.93123209169E+09,-7.49506172476E+00,-3.60488806970E+00,-6.89887991474E+01,-3.83047344237E+01
5.96991404011E+09,+1.01290853964E+00,-7.44355972301E-01,+1.05605918991E+01,-2.39261674643E+00
6.00859598854E+09,-5.14792839631E+00,+3.22894318904E+00,-1.09525176029E+02,-5.37663547902E+01
6.04727793696E+09,+1.58733121884E+00,-2.72670582587E+00,-3.45969301162E+01,+4.73453525496E+01
6.08595988539E+09,+1.74395156198E+00,+1.04167389335E+00,+1.38126420284E+01,+3.76863776529E+01
6.12464183381E+09,+4.44237094149E-01,+1.03525567816E+00,+2.97627600395E+01,+4.27558877248E+01
6.16332378223E+09,+4.13921868780E+00,+3.50889126062E+00,+4.09024438515E+01,+2.68249026269E+01
6.20200573066E+09,+7.42598800552E-01,+5.25928658763E-01,+1.36781898558E+01,+2.31295482134E+01
