! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:27:51
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,-1.90463671374E-01,+3.34831096169E+00,+1.44635470132E+02,+1.69537513779E+02
4.51002865330E+09,+8.31565013030E+00,+1.07196143931E+01,+1.69250425913E+01,+1.51214479948E+01
4.52005730659E+09,+7.73255289124E+00,-1.36868569508E+01,-1.02803257709E+02,-8.18499913125E+01
4.53008595989E+09,+5.14415585201E+00,+6.31825979384E+00,+7.98220781632E+01,-3.97169505886E+01
4.54011461318E+09,+5.99122110128E+00,+1.76772632014E+00,-1.58270468837E+01,-1.78284911131E+02
4.55014326648E+09,-6.17784820469E+00,+3.17801896042E+00,+1.47680148622E+02,+6.72343863288E+00
4.56017191977E+09,+7.18175771019E+00,+7.09406139879E+00,+3.69589086597E+01,+3.22380133049E+00
4.57020057307E+09,+8.80182186585E+00,+3.91043479081E+00,-1.86180637449E+01,-1.18806568266E+02
4.58022922636E+09,-8.71765877418E+00,-1.31124336482E+01,+9.88410840971E+01,-1.46530667698E+02
4.59025787966E+09,-9.57965846435E-01,-5.22841670896E+00,-1.23216118136E+02,+8.26660420908E+00
4.60028653295E+09,-7.77421447533E+00,-4.55953168501E+00,+2.60939071267E+01,-1.44001485881E+02
4.61031518625E+09,-6.48721054110E+00,+2.03918238237E+01,+1.68178675862E+02,-9.54322727310E+01
4.62034383954E+09,+1.50252858929E+00,+1.67122711247E+01,-1.40221165536E+02,-1.42794484449E+02
4.63037249284E+09,-5.89629959688E+00,-5.51585242893E+00,+1.52696428963E+02,+1.42845195264E+02
4.64040114613E+09,-4.21983016114E+00,+7.22072115941E+00,+1.05264669738E+02,+1.76920457846E+02
4.65042979943E+09,+8.56839466644E-01,-5.68145874291E+00,-5.51055585762E+01,+1.29192098204E+02
4.66045845272E+09,+2.23115552525E+00,+2.12773323970E+00,+1.42606694600E+01,+1.48468312835E+02
4.67048710602E+09,-2.72324457791E+00,-8.13028185141E-01,+1.30664449447E+02,+9.20189795828E+01
4.68051575931E+09,-1.66618320951E+00,+3.37685072565E+00,+1.23431550758E+02,+7.85568584425E+01
4.69054441261E+09,-3.84561606307E+00,+1.13837544709E+00,-4.70978677842E-01,-7.93482070590E+00
4.70057306590E+09,+1.13709467242E+01,+1.03954239029E+01,-8.77422255278E+01,-5.64684396164E+01
