! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:25:29
! Stimulus(Гц),    S12(дБ),           S12(дБ),           S12(°),            S12(°)
4.50000000000E+09,+4.29254812005E-01,+3.96802944507E+00,-1.39252676216E+02,-1.14350632570E+02
4.53868194842E+09,-1.53269005312E+00,+8.71274209660E-01,+1.34876500061E+02,+1.33072905464E+02
4.57736389685E+09,+1.13329968544E+01,-1.00864129877E+01,+1.38897139011E+02,+1.59850405408E+02
4.61604584527E+09,-8.09478260511E+00,-6.92067866327E+00,+1.38727744179E+02,+1.91887154274E+01
4.65472779370E+09,-2.79717321766E+00,-7.02066799880E+00,+1.00513430036E+02,-6.19444342109E+01
4.69340974212E+09,-1.38395336797E+01,-4.48366651460E+00,+5.47978116020E+01,-8.61588983868E+01
4.73209169054E+09,+3.92878574999E+00,+3.84108943859E+00,+2.41758189153E+01,-9.55928841384E+00
4.77077363897E+09,+1.81207923235E+01,+1.32294052484E+01,-3.55006833927E+01,-1.35689187914E+02
4.80945558739E+09,-8.66068432897E-01,-5.26084330688E+00,-7.73665115847E+01,+3.72617366200E+01
4.84813753582E+09,+5.58101321599E+00,+1.31056235346E+00,+2.85368095927E+01,+1.60019531937E+02
4.88681948424E+09,-5.34693521258E+00,-2.13225242226E+00,+2.16699961817E+01,-1.48425396826E+02
4.92550143266E+09,-5.16156008474E+00,+2.17174742800E+01,-1.63257337471E+02,-6.68682860647E+01
4.96418338109E+09,-3.14766383341E+00,+1.20620787020E+01,-1.40173212053E+01,-1.65906401186E+01
5.00286532951E+09,-7.28173965455E+00,-6.90129248660E+00,+2.70005568000E+01,+1.71493231003E+01
5.04154727794E+09,-1.85115718807E+00,+9.58939413248E+00,+1.77745622395E+02,-1.10598589497E+02
5.08022922636E+09,+7.30069469092E+00,+7.62396481361E-01,+1.66801185012E+02,-8.90115820784E+00
5.11891117479E+09,+3.31692528622E+00,+3.21350300066E+00,+1.79826780431E+02,-4.59655761939E+01
5.15759312321E+09,+3.78856247630E+00,+5.69877886908E+00,+4.31521284219E+00,-3.43302570217E+01
5.19627507163E+09,+5.28255606005E+00,+1.03255899952E+01,-2.18768180622E+01,-6.67515103778E+01
5.23495702006E+09,-2.52188782942E+00,+2.46210368074E+00,+1.01410030804E+02,+9.39461887756E+01
5.27363896848E+09,-2.86883386087E+00,-3.84435668217E+00,+1.53947678968E+02,-1.74778535121E+02
