! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:23:00
! Stimulus(Гц),    S12(дБ),           S12(дБ),           S12(°),            S12(°)
4.50000000000E+09,+7.80909170261E+00,+1.13478663357E+01,+1.76109652350E+02,-1.58988304003E+02
4.53868194842E+09,-2.17559195395E+00,+2.28372308835E-01,-1.26876362737E+01,-1.44912308701E+01
4.57736389685E+09,+1.50155866807E+01,-6.40382316131E+00,-3.65723086099E+01,-1.56190422131E+01
4.61604584527E+09,-1.62325918218E+00,-4.49155240344E-01,-1.52132849837E+02,+8.83281214116E+01
4.65472779370E+09,-7.06319371525E-01,-4.92981415266E+00,-3.18902440344E+00,-1.65646888650E+02
4.69340974212E+09,-2.15828094353E+01,-1.22269422702E+01,-3.95729037566E+01,+1.79470386255E+02
4.73209169054E+09,-5.22144066501E+00,-5.30913697641E+00,-1.35687573911E+02,-1.69422681240E+02
4.77077363897E+09,+1.74429593984E+01,+1.25515723233E+01,+1.58106861454E+02,+5.79183569326E+01
4.80945558739E+09,+8.25761165433E-01,-3.56901370856E+00,-1.70696618279E+02,-5.60683700742E+01
4.84813753582E+09,-8.22861607977E+00,-1.24990669423E+01,-9.56870594766E+01,+3.57956628681E+01
4.88681948424E+09,-7.00886622457E+00,-3.79418343425E+00,+3.76552692152E+01,-1.32440123793E+02
4.92550143266E+09,-1.50541019691E+01,+1.18249323957E+01,-1.18979887664E+02,-2.25908362569E+01
4.96418338109E+09,-1.40372594377E+01,+1.17248309774E+00,-1.12384097899E+01,-1.38117287033E+01
5.00286532951E+09,-2.47221561886E+00,-2.09176845090E+00,-4.76678091933E+01,-5.75190428931E+01
5.04154727794E+09,+2.92271381592E+00,+1.43632651365E+01,+8.85335618367E+00,+8.05091442916E+01
5.08022922636E+09,-1.93664421474E+00,-8.47494242430E+00,-8.85697977796E+01,+9.57278590010E+01
5.11891117479E+09,-2.75239103326E-02,-1.30946195888E-01,-1.78207593176E+02,-4.39999498017E+01
5.15759312321E+09,+1.63757480238E-01,+2.07397387301E+00,+7.27055365607E+00,-3.13749162078E+01
5.19627507163E+09,-9.78273494953E+00,-4.73970101436E+00,+8.86513252778E+01,+4.37766329621E+01
5.23495702006E+09,-4.16284882451E+00,+8.21142685646E-01,+1.61440549686E+02,+1.53976707658E+02
5.27363896848E+09,+4.05171347819E+00,+3.07619065690E+00,-1.61613006777E+02,-1.30339220866E+02
