! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:21:45
! Stimulus(Гц),    S21(дБ),           S12(дБ),           S21(°),            S12(°)
4.50000000000E+09,+2.30127565273E+00,+2.26225818282E+00,+2.45814505253E+01,+3.26274706715E+01
4.53868194842E+09,+3.40835725567E+00,+9.78250097166E+00,-1.63086958862E+02,-1.65453381555E+02
4.57736389685E+09,+1.52445938582E+01,-3.37037341472E+00,-3.37443996925E+01,+1.75668658298E+02
4.61604584527E+09,+1.83777552200E+00,+5.20909740999E+00,+5.02282003789E+01,-1.02153164294E+02
4.65472779370E+09,+5.23190947098E+00,-1.40928733147E+01,-3.68259126833E+01,-1.47971046177E+02
4.69340974212E+09,-5.38413185951E+00,-9.86166573509E+00,-1.03189259189E+02,-1.50821639161E+02
4.73209169054E+09,-6.06285289873E+00,-2.37176091783E+00,+1.74458399778E+02,-2.08310052547E+01
4.77077363897E+09,+7.64740526105E+00,+1.21937923110E+01,-1.40425487368E+01,+1.64934063695E+02
4.80945558739E+09,+2.55849336820E+00,-6.82934072992E+00,-1.04861610286E+02,+2.83397923735E+01
4.84813753582E+09,-2.40791079403E+00,-1.00326806722E+00,-1.43598272736E+02,-2.08027777874E+00
4.88681948424E+09,+3.32387974653E+00,+2.24858902663E+00,-1.61921915832E+02,-9.22781754879E+00
4.92550143266E+09,-6.28562242281E+00,+8.86858427979E+00,-1.56617287237E+02,-3.67214177664E+01
4.96418338109E+09,-7.58983531531E+00,+1.99230237793E+01,-1.40147941047E+02,-1.62693668763E+02
5.00286532951E+09,-1.33617508539E+01,-1.08685024231E+00,-9.57875231074E+00,-2.44044471347E+01
5.04154727794E+09,-6.11047856190E+00,+8.74566090375E-01,+1.55809323843E+02,+5.07790612889E+01
5.08022922636E+09,+9.82792558241E-01,-6.01412502081E+00,-2.19380423606E+00,+8.98312505895E+01
5.11891117479E+09,-1.10694533746E+00,-3.98792639141E+00,-2.14472240644E+01,+1.20766264681E+02
5.15759312321E+09,-7.31056746674E+00,-1.18169075243E+01,-3.78487908869E+01,+1.60426803334E+02
5.19627507163E+09,+9.61317236913E+00,+4.19076974619E+00,-1.15897013935E+00,-9.09439594205E+01
5.23495702006E+09,-2.48727304305E+00,-7.20198143323E+00,-1.98651997052E+01,-1.52668420905E+02
5.27363896848E+09,+1.31685545588E+01,+5.11693711813E+00,-8.92290558948E+01,+1.45691094992E+02
5.31232091691E+09,-7.23492049597E+00,-1.94980497376E+00,-1.27165009557E+02,+4.54842527469E+00
5.35100286533E+09,+1.16711591179E+01,-6.96144390537E+00,-1.51923687901E+01,+1.69331434968E+02
5.38968481375E+09,+8.44153456049E+00,-2.23688601683E+01,+2.40048105056E+01,-1.43074530617E+02
5.42836676218E+09,-5.33343732356E+00,-2.34338396209E+01,-3.00834893999E+01,-4.00554031568E+01
5.46704871060E+09,+1.84035697620E+01,-5.20695053492E+00,+4.14683490504E+01,+4.53759459737E+01
5.50573065903E+09,+1.07357684165E+01,-9.63090890339E+00,-1.16557458231E+02,-1.09433591329E+02
