! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:22:09
! Stimulus(Гц),    S21(дБ),           S12(дБ),           S21(°),            S12(°)
4.50000000000E+09,-8.99673766248E+00,+2.70418341889E+00,+5.44717170971E+01,-1.70729256774E+02
4.53868194842E+09,+8.81414310536E-01,-1.26245534786E+01,+8.69862703801E+01,+1.39033730141E+02
4.57736389685E+09,+1.40634848506E+01,-1.43424426296E+00,-1.78869114088E+01,-1.78911972280E+02
4.61604584527E+09,-1.19363708014E+01,-7.51894978690E+00,-3.98550527890E+01,-1.47334865628E+01
4.65472779370E+09,+3.57010809242E+00,-7.22353270332E+00,+1.58502140044E+02,-7.26631749452E+01
4.69340974212E+09,+5.23633558589E+00,+8.17591655016E+00,+1.82394886365E+01,-1.02005167254E+00
4.73209169054E+09,-2.59540588150E+00,-1.14105743954E+01,-2.00932567348E+01,-1.92161547171E+01
4.77077363897E+09,+1.71940507965E+01,+1.09922911797E+00,+1.77839046926E+02,-6.06501342508E+00
4.80945558739E+09,+7.26623828496E-01,-1.11118904670E+01,+5.05627433170E+01,+8.42543501439E+01
4.84813753582E+09,-6.25972473133E+00,-9.59950273905E+00,+1.43308261205E+02,+1.52630934292E+02
4.88681948424E+09,-6.44343285380E+00,-1.11102120178E+00,-1.44349596288E+02,+1.37858955003E+01
4.92550143266E+09,-2.22966509595E+00,+1.24477874383E+01,+2.58329005784E+01,+6.72370149012E+00
4.96418338109E+09,+5.76947195164E+00,+1.41466388464E+01,+2.91787269894E+01,+2.69218896384E+00
5.00286532951E+09,-3.49136410030E+00,-2.94008449765E+00,+1.92867451527E+01,+3.57616859408E+01
5.04154727794E+09,-5.22960301798E+00,+1.79154229410E+01,-1.79779460238E+02,-8.08659868224E+01
5.08022922636E+09,+1.04987368955E+00,-1.74176254034E+01,+3.31312876681E+01,-1.28442836240E+02
5.11891117479E+09,-4.08795680269E+00,-2.60180632763E+00,+1.78486995566E+02,+1.58915653960E+02
5.15759312321E+09,-1.59827629242E+01,-7.59803673209E+00,-1.71156401724E+02,+1.50968174097E+02
5.19627507163E+09,+3.09342005165E+00,+1.22682896849E+01,+2.26969651540E+01,-6.01119830269E+01
5.23495702006E+09,-6.56135116521E+00,+1.43415936325E+00,-1.43529854777E+02,+1.59347111433E+02
5.27363896848E+09,+4.53378593098E+00,+6.04779839516E-01,-1.08303629081E+02,+2.02674620280E+01
5.31232091691E+09,+9.85940836035E-02,-8.67557709546E+00,-3.77285803919E+00,+1.68861309588E+02
5.35100286533E+09,+1.51787345201E+01,+2.87472982971E+00,-4.01359170359E+01,-1.08097401678E+01
5.38968481375E+09,+9.36018837484E-01,-2.34289235511E+00,+3.60264579479E+01,+1.70384577232E+02
5.42836676218E+09,-5.07215189664E+00,-4.09370908472E-01,-1.41150446288E+02,+3.39088259638E+01
5.46704871060E+09,+1.86741619419E+01,+4.51527710314E+00,+5.77228799305E+01,+8.60967001134E+01
