! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:26:41
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,-2.86701075834E+00,+6.71763874729E-01,+1.62970559837E+02,-1.72127396516E+02
4.51002865330E+09,-1.26430250165E+00,+1.13966176113E+00,-1.26226784480E+02,-1.28030379076E+02
4.52005730659E+09,+1.31126663848E+01,-8.30674345730E+00,+5.79968704176E+01,+7.89501368144E+01
4.53008595989E+09,-9.03303870168E+00,-7.85893475985E+00,-1.01266746887E+02,+1.39194224361E+02
4.54011461318E+09,-3.55470125145E+00,-7.77819603258E+00,+6.35541936726E+01,-9.89036705744E+01
4.55014326648E+09,-6.42511655460E+00,+2.93075061051E+00,-2.36341778664E+01,-1.64590887855E+02
4.56017191977E+09,-8.72447028923E+00,-8.81216660063E+00,-1.20840402424E+02,-1.54575509753E+02
4.57020057307E+09,+1.21518065542E+01,+7.26041947921E+00,-3.96298610920E+01,-1.39818365613E+02
4.58022922636E+09,+4.40211629469E+00,+7.34142070542E-03,-1.31139012545E+02,-1.65107643406E+01
4.59025787966E+09,+6.48919873032E-01,-3.62153098950E+00,+5.08901843349E+01,-1.77627093320E+02
4.60028653295E+09,-1.43515725046E+01,-1.11368897143E+01,+4.40233302382E+01,-1.26072062770E+02
4.61031518625E+09,-1.96282238245E+01,+7.25081054026E+00,+5.83493751638E+01,+1.54738426570E+02
4.62034383954E+09,-4.17972561477E+00,+1.10300169207E+01,+1.20179148022E+02,+1.17605829109E+02
4.63037249284E+09,-2.82978491456E+00,-2.44933774661E+00,-4.87394953902E+01,-5.85907290899E+01
4.64040114613E+09,-2.12201623735E+01,-9.77961105295E+00,+7.37129472309E+01,+1.45368735339E+02
4.65042979943E+09,-3.64636653359E+00,-1.01846647431E+01,-4.25647553840E+01,+1.41732901397E+02
4.66045845272E+09,-1.77632700843E+01,-1.78666923699E+01,-8.77633120808E+01,+4.64443312939E+01
4.67048710602E+09,-8.13549545330E-01,+1.09666684744E+00,+1.89688269372E+01,-1.96766429267E+01
4.68051575931E+09,+8.19158608855E+00,+1.32346200237E+01,-1.73581947926E+02,+1.41543359758E+02
4.69054441261E+09,-6.95521387920E+00,-1.97122236904E+00,+1.64610734631E+02,+1.57146892603E+02
4.70057306590E+09,-2.27015464141E+00,-3.24567746271E+00,+4.72833214429E+01,+7.85571073543E+01
4.71060171920E+09,-1.03290531295E+01,-1.85740762896E+01,-7.45150561898E+01,-5.02950807421E+01
4.72063037249E+09,-5.80982556157E+00,-1.32393946908E+01,-1.67034485711E+02,+8.39061577229E+01
4.73065902579E+09,+2.57296730632E+00,-4.48562918946E-01,-1.59556670355E+02,-1.78418891374E+02
4.74068767908E+09,+8.55723855011E-01,-8.54731794040E-01,+1.61850839389E+02,-1.40230725085E+02
4.75071633238E+09,+1.05544382765E+01,+9.94324773548E-01,+1.37202621174E+02,+1.68372703951E+02
4.76074498567E+09,+7.86957215275E+00,+4.24866194426E-01,-1.16599847607E+02,-1.65269613771E+02
4.77077363897E+09,+1.23908907967E+01,-2.04164377855E+00,-6.43062191795E+00,+5.18669309117E+00
4.78080229226E+09,-1.16389438724E+01,+2.49618294630E+00,-1.61688869783E+02,-5.33895966270E+01
4.79083094556E+09,+1.49726647089E+00,-3.78153488515E+00,+6.12123826766E+01,+4.37675015425E+01
4.80085959885E+09,-4.41525024431E+00,-3.22323022135E+00,-9.50615312625E+01,-1.73616063856E+02
4.81088825215E+09,-2.74966837058E+00,-3.38826105105E+00,-9.77768074636E+01,+2.68352848858E+00
4.82091690544E+09,-1.18345333104E+01,-5.23217182462E+00,-8.93661304265E+01,-4.79445994489E+01
4.83094555874E+09,+1.11798163943E+00,+4.75905408865E-01,+1.58859830565E+02,+8.74732451335E+01
4.84097421203E+09,-1.67809114733E+01,-1.74323122459E+01,-1.09066333401E+02,-1.24472895706E+02
4.85100286533E+09,-2.36237951897E+01,-1.74040152748E+01,-3.31397691512E+01,+4.05130216471E+01
4.86103151862E+09,-1.11600224728E+01,-1.03464462481E+01,+8.84396599721E+01,+7.80640527721E+01
4.87106017192E+09,-3.87286470638E+00,-1.09445460133E+01,+1.40419506332E+02,+8.24096855094E+01
4.88108882521E+09,-1.82221946864E+00,-1.91940918600E+00,-1.18728557521E+02,-8.95161834323E+01
4.89111747851E+09,-3.07950847305E+00,-9.35289186599E+00,+7.13727238714E+01,+3.54593563850E+01
4.90114613181E+09,+4.49000201069E+00,-6.80098553541E+00,+2.73733220121E+01,+1.36994706608E+00
4.91117478510E+09,-4.46037166501E+00,-6.09755014795E+00,-3.56393842359E+01,-5.90335614097E+01
4.92120343840E+09,-1.40926907700E+01,-1.42831746672E+01,+6.55707228710E+01,+8.54172918026E+01
