! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:25:31
! Stimulus(Гц),    S12(дБ),           S12(дБ),           S12(°),            S12(°)
4.50000000000E+09,+6.82326358565E+00,+1.03620382187E+01,-3.35251974820E+00,+2.15495238983E+01
4.53868194842E+09,-3.04952895818E+00,-6.45564695397E-01,-1.52518209890E+02,-1.54321804486E+02
4.57736389685E+09,+2.42527711929E+00,-1.89941327228E+01,+1.49937728290E+02,+1.70890994687E+02
4.61604584527E+09,-1.35714907402E+00,-1.83045132193E-01,-1.54398239178E+02,+8.60627320704E+01
4.65472779370E+09,+7.35441589929E+00,+3.13092111816E+00,+1.59328244650E+02,-3.12961959666E+00
4.69340974212E+09,+1.77532800645E+00,+1.11311951716E+01,+1.73043304319E+02,+3.20865943299E+01
4.73209169054E+09,+3.64210488364E+00,+3.55440857224E+00,+3.20010201769E+01,-1.73408715227E+00
4.77077363897E+09,+1.46977607281E+01,+9.80637365308E+00,+1.45204275143E+02,+4.50157706221E+01
4.80945558739E+09,-3.70588226985E+00,-8.10065714384E+00,-8.05704201246E+01,+3.40578280801E+01
4.84813753582E+09,+9.87943620132E+00,+5.60898533879E+00,+3.86320940941E+01,+1.70114816439E+02
4.88681948424E+09,-8.33051566676E+00,-5.11583287644E+00,+9.66017322728E+01,-7.34936607349E+01
4.92550143266E+09,-1.49284824031E+01,+1.19505519617E+01,-1.96321519534E+01,+7.67568994533E+01
4.96418338109E+09,+1.07145901455E+00,+1.62812015500E+01,+1.66709126208E+02,+1.64135807294E+02
5.00286532951E+09,+6.75646989137E-01,+1.05609415709E+00,-1.55414693595E+02,-1.65265927295E+02
5.04154727794E+09,-4.66535171511E+00,+6.77519960544E+00,+1.74364900014E+02,-1.13979311878E+02
5.08022922636E+09,+2.34610815109E+00,-4.19219005847E+00,-1.77424002265E+02,+6.87365451542E+00
5.11891117479E+09,-8.07854543451E+00,-8.18196772006E+00,+1.30103226407E+01,+1.47217966016E+02
5.15759312321E+09,+3.79623299781E+00,+5.70644939058E+00,+1.33034576306E+01,-2.53420122333E+01
5.19627507163E+09,+1.78090878183E+00,+6.82394271700E+00,-1.34652820914E+02,-1.79527513229E+02
5.23495702006E+09,-8.66767569789E+00,-3.68368418773E+00,+1.55807106633E+02,+1.48343264605E+02
5.27363896848E+09,+5.62091190635E+00,+4.64538908505E+00,+1.06070639577E+02,+1.37344425488E+02
5.31232091691E+09,+4.47342285984E+00,-3.77160030019E+00,-1.77329705186E+02,-1.53109729738E+02
5.35100286533E+09,+1.57983107591E+01,+8.36874162987E+00,+1.16522290717E+02,+7.46293415093E+00
5.38968481375E+09,-8.81245710616E+00,-1.18339873314E+01,+8.88570773805E+01,+6.99948563607E+01
5.42836676218E+09,+7.75029122718E+00,+6.03983557813E+00,-2.69925316395E+01,+3.09259038866E+01
5.46704871060E+09,+1.84232987810E+01,+8.86318527810E+00,-8.93517049312E+01,-5.81816221546E+01
5.50573065903E+09,+7.35775220888E+00,-8.69537494505E-02,-7.08745630042E+01,-1.19544329168E+02
5.54441260745E+09,+1.04333294422E+01,-3.99920513300E+00,-1.63305857625E+02,-1.51688542616E+02
5.58309455587E+09,-6.41194573862E+00,+7.72318108009E+00,-7.20915889170E+00,+1.01090114265E+02
5.62177650430E+09,-1.95205828403E+00,-7.23085964008E+00,-9.03413528055E+01,-1.07786233940E+02
5.66045845272E+09,-6.20799998236E+00,-5.01597995940E+00,+8.87464708480E+01,+1.01919382542E+01
5.69914040115E+09,-1.13694588871E+01,-1.20080515676E+01,+1.67587153244E+02,-9.19525108036E+01
5.73782234957E+09,-4.82695905859E+00,+1.77540242718E+00,-6.27263655574E+01,-2.13048345799E+01
5.77650429799E+09,+2.62344931361E+00,+1.98137308304E+00,+4.46284722785E+01,-2.67581131528E+01
5.81518624642E+09,+1.54389222106E+00,+8.92491448431E-01,+1.25659124443E+01,-2.84064986054E+00
5.85386819484E+09,+2.13582093141E+00,+8.35560084637E+00,-1.02030397459E+01,+6.34497510524E+01
5.89255014327E+09,-5.22059153726E+00,-4.40701531263E+00,-8.87802778960E-01,-1.12634099790E+01
5.93123209169E+09,+2.25364720687E+00,-4.81803410003E+00,+2.91512484650E+01,-2.88585723579E+01
5.96991404011E+09,-4.07262381352E+00,-4.16981353088E+00,-1.71395140525E+01,+1.20728600360E+01
6.00859598854E+09,+4.14314054875E+00,-2.13024284418E+00,+2.99085378645E+01,-6.00482962189E+00
6.04727793696E+09,+7.59698763500E+00,-3.69399991110E+00,-3.48005396148E+01,-6.08039145609E+01
6.08595988539E+09,-1.06454280046E+00,-2.70172128340E+00,-2.68388930617E+01,-5.02330702355E+01
6.12464183381E+09,+1.81859762235E+00,+1.62811372518E+00,+4.79925290556E+01,+6.78390979871E+01
6.16332378223E+09,+1.04974078985E+00,+1.27132474487E+00,+5.22732145198E+01,+3.04370167788E+01
6.20200573066E+09,-1.86724531618E+00,-3.39847941216E+00,+4.48855337295E+01,-2.07871222948E+01
6.24068767908E+09,+8.73876708140E-01,-1.80078094878E+00,+2.16934977439E+01,+2.80588780856E+01
6.27936962751E+09,+5.96744846358E-01,-3.46783251089E-01,-2.01152766500E+01,-2.53753393328E+01
6.31805157593E+09,+2.59022809974E+00,+2.23686689614E+00,+8.32077399196E+00,-1.38680868102E+01
6.35673352436E+09,+4.50616960298E-01,+1.04646558583E+00,-8.18592189956E+00,-4.10556891908E+00
6.39541547278E+09,+2.78730635398E+00,+1.90992302349E+00,+2.17170017762E+01,+4.39869160531E+01
6.43409742120E+09,-3.91914366578E-01,-3.75994658321E-03,+1.65158780444E+01,+1.74833583058E+01
6.47277936963E+09,-5.60102682251E-01,+1.24257616507E-01,+2.05208959986E+00,+1.82083013087E+01
6.51146131805E+09,+1.00985504601E+00,+7.51187968865E-01,-2.52505339282E+00,+7.32151371751E+00
6.55014326648E+09,-7.18829035295E-01,-4.35769411289E-02,-2.93471206836E+01,-6.78259682650E+00
6.58882521490E+09,-3.25274471014E-02,+1.75348469339E-01,+9.03630128459E+00,+9.09842805091E+00
6.62750716332E+09,-4.46878733273E-01,+2.72785251501E-02,+2.14104805382E+01,+5.37739751772E+00
6.66618911175E+09,+5.19462235634E-01,-1.99783456981E-01,+4.10639359861E+00,+5.57257961736E+00
6.70487106017E+09,+4.81119328044E-01,+4.95893409222E-01,-1.17590532018E+01,-1.08542307486E+01
6.74355300860E+09,+1.36585333053E-01,-2.76779177664E-02,+1.82385458313E+00,+7.71342171105E-01
6.78223495702E+09,+9.07328321531E-01,-3.70898509512E-01,-4.51288759079E+00,+1.98669241984E+00
6.82091690544E+09,+1.07024570230E+00,+7.05040753549E-01,-4.83758782419E+00,-9.30688278304E+00
6.85959885387E+09,+5.32154172232E-01,-8.43261565599E-04,-1.73689447262E+00,+8.36080448663E-01
6.89828080229E+09,+1.58189488507E-01,+4.79631102167E-01,+7.67750050749E-01,-1.16990296625E+00
6.93696275072E+09,+3.13106364373E-01,+6.28283482442E-02,-5.47530348193E+00,-1.40063918262E+00
6.97564469914E+09,+3.92125192807E-01,-6.54849096061E-01,+1.85642037097E-01,+6.31981967072E+00
7.01432664756E+09,+1.84146208566E-01,+1.33778771313E-01,-3.05500699734E+00,-1.04767104414E+00
7.05300859599E+09,+9.60396007848E-01,-5.27371514979E-02,-7.51630025682E+00,+1.09680341154E+00
7.09169054441E+09,+1.78841732941E-01,+1.04079661313E-01,-4.33775407063E+00,-7.57839137327E-01
7.13037249284E+09,+7.42145435821E-01,+2.96569839621E-01,-4.70376787577E+00,-1.54770161153E+00
7.16905444126E+09,+1.19496905054E-01,+8.85891227118E-02,-3.49479040239E+00,+1.00041183442E+00
7.20773638968E+09,+4.61638542973E-01,+6.41656493984E-02,-4.89349441248E+00,+2.42779420379E-01
7.24641833811E+09,+3.66169030939E-02,-2.64797238632E-02,-6.05233831819E+00,-4.21693679540E-01
7.28510028653E+09,+1.41485233392E-01,-1.93893725358E-01,-5.52790528317E+00,+7.47274145158E-01
7.32378223496E+09,-2.39481546386E-01,+7.29269502690E-02,-4.51609992018E+00,+2.67312391865E-02
7.36246418338E+09,-2.50288129498E-02,+1.08264166825E-01,-4.87766239451E+00,-1.18554033297E-01
7.40114613181E+09,-2.19303012508E-01,-1.44453375988E-01,-4.88544906913E+00,-2.39574048201E-02
7.43982808023E+09,-2.91325594198E-01,-1.67626135861E-02,-4.91569550523E+00,-1.94732562341E-01
7.47851002865E+09,-2.88789109530E-01,-4.72053042906E-02,-4.07438518154E+00,+1.95647086814E-01
7.51719197708E+09,-3.55963299226E-01,+8.38131242802E-02,-4.18983853541E+00,+6.30432538016E-02
7.55587392550E+09,-5.33775905282E-01,+8.50390921426E-02,-3.35315133023E+00,-1.00998751169E-01
7.59455587393E+09,-6.30421740556E-01,-5.29902091613E-02,-3.19193305399E+00,-1.59663043417E-01
7.63323782235E+09,-6.25638039033E-01,-5.53644951943E-03,-2.55829497843E+00,-8.92328804205E-02
7.67191977077E+09,-6.59913205026E-01,+1.23878597755E-02,-1.81524237707E+00,-4.21426411937E-03
7.71060171920E+09,-7.32159315917E-01,-7.45069487403E-03,-1.07349834510E+00,-5.74591466636E-02
7.74928366762E+09,-7.21729081363E-01,+1.95028016311E-02,-1.77112888124E-01,+3.85532356464E-02
7.78796561605E+09,-7.18405563175E-01,-1.36770303650E-03,+7.29385848287E-01,-8.76008794465E-03
7.82664756447E+09,-6.75287238697E-01,-6.49330855496E-03,+1.70677083685E+00,-3.16140701405E-02
7.86532951289E+09,-5.99509743982E-01,+1.73610601575E-04,+2.64043118440E+00,-4.52335689220E-03
7.90401146132E+09,-4.63099572526E-01,+4.15162250599E-04,+3.56246832836E+00,+1.63259853767E-03
7.94269340974E+09,-2.68666645223E-01,-7.79450960135E-04,+4.21698062316E+00,-1.04642468768E-02
7.98137535817E+09,-3.07991935951E-03,-2.49480256534E-04,+4.34495485665E+00,-4.69095712590E-03
8.02005730659E+09,+2.68926081681E-01,+2.82466361440E-04,+3.23996261369E+00,-1.99232491873E-03
8.05873925501E+09,+3.16225167970E-01,-2.78511456012E-04,+9.65965698008E-01,+1.50652793744E-03
8.09742120344E+09,+9.14623566050E-02,+2.98587415642E-04,-1.65359370059E-02,-1.69448866308E-03
8.13610315186E+09,-8.26963473132E-03,-1.02111201618E-03,+6.15863336242E-01,-7.01461226318E-03
8.17478510029E+09,+5.02814284868E-02,-2.28551755811E-04,+8.60710727677E-01,-2.89979374970E-03
8.21346704871E+09,+8.84433977834E-02,+2.69302078529E-04,+3.81635809686E-01,+2.01766319736E-03
8.25214899713E+09,+3.35249103078E-02,+1.85014292251E-04,-1.30100642046E-01,-3.36727312080E-04
8.29083094556E+09,-6.67130655512E-02,-2.28550780439E-04,-1.00668884767E-01,+6.88034674929E-04
8.32951289398E+09,-1.26870199208E-01,-3.34890031476E-04,+4.05006421893E-01,-1.95050785944E-03
8.36819484241E+09,-1.07783338854E-01,-8.51608817472E-04,+1.01623659483E+00,-2.99120241111E-03
8.40687679083E+09,-2.46181666875E-02,-2.81651484197E-04,+1.34899889777E+00,-8.56423997540E-04
8.44555873926E+09,+6.87199085805E-02,-2.27949035670E-04,+1.17067913033E+00,-2.66974139916E-04
8.48424068768E+09,+1.09993554940E-01,+7.79746594926E-05,+5.59304329560E-01,+1.10976072958E-03
8.52292263610E+09,+6.78338168670E-02,+3.84584158124E-04,-7.22369367575E-02,+1.94869673562E-04
8.56160458453E+09,-3.43467264277E-02,+1.52863604554E-04,-2.83986239359E-01,+3.55877103825E-03
8.60028653295E+09,-1.30902070086E-01,+7.99302590984E-04,+6.91004612548E-02,-1.09606302250E-03
8.63896848138E+09,-1.61910278586E-01,-3.32859680019E-04,+7.66964379411E-01,+3.11218026178E-03
8.67765042980E+09,-1.13051608833E-01,-1.39811054110E-04,+1.39284059191E+00,-2.94149109612E-03
8.71633237822E+09,-9.19463251888E-03,+1.56146419850E-04,+1.62987256497E+00,+1.14850626886E-03
8.75501432665E+09,+8.90588725219E-02,+1.69860102970E-04,+1.28834481328E+00,+6.19254959163E-05
8.79369627507E+09,+1.11908611775E-01,+3.96656868546E-04,+5.18040413198E-01,+4.34094081928E-04
8.83237822350E+09,+2.81412043395E-02,-6.05833359791E-04,-9.92570484235E-02,+1.46761075260E-03
8.87106017192E+09,-9.57835809111E-02,+4.68360222867E-05,-3.87033608615E-03,-5.41894605855E-04
8.90974212034E+09,-1.48303515590E-01,-6.94821287862E-04,+6.55320532260E-01,-1.13709582115E-03
8.94842406877E+09,-8.96324207261E-02,+5.73320161853E-04,+1.06484244240E+00,+2.60150674168E-03
8.98710601719E+09,-4.44758842919E-02,+9.83559082060E-04,+4.32936050875E-01,+3.84453165480E-03
9.02578796562E+09,-2.65707921089E-01,-8.09819608020E-04,-1.43956691797E-01,-5.08738422163E-03
9.06446991404E+09,-4.72491667186E-01,+6.22210473193E-04,+1.57238950416E+00,+2.40922642135E-05
9.10315186246E+09,-3.98077768639E-01,+4.15469780090E-04,+3.46830409116E+00,-6.02049663712E-03
9.14183381089E+09,-2.19872264280E-01,-3.77610374560E-03,+4.52880237131E+00,+2.02318740157E-02
9.18051575931E+09,-4.03259104794E-02,-2.80447752470E-03,+4.96184724417E+00,+1.40133189988E-02
9.21919770774E+09,+1.29298845908E-01,-4.61588426208E-03,+4.98150839110E+00,-8.27095700762E-03
9.25787965616E+09,+2.82751166621E-01,-1.54446446798E-03,+4.72768291767E+00,+1.41599082485E-02
9.29656160458E+09,+4.26108294142E-01,+2.40321055380E-02,+4.34632845429E+00,+6.12818115487E-02
9.33524355301E+09,+5.01693110401E-01,+7.36749488773E-03,+3.78991777036E+00,-9.03002789755E-03
9.37392550143E+09,+5.52966207852E-01,-1.72544394290E-02,+3.17608107290E+00,-5.08521635041E-02
9.41260744986E+09,+5.99738797935E-01,+1.60104647464E-02,+2.60373088173E+00,+2.55655364541E-01
9.45128939828E+09,+5.94911981817E-01,+9.06215703529E-03,+2.02184635478E+00,+3.26354498952E-01
9.48997134670E+09,+5.69663029256E-01,+3.94972813117E-02,+1.18958011794E+00,+1.25149084165E-01
9.52865329513E+09,+6.08129806918E-01,+2.03109864211E-01,+1.97922317204E+00,+2.01120549731E-01
9.56733524355E+09,+6.12571768088E-01,-8.78274548650E-03,+1.04643038203E+00,-2.97597266095E-03
9.60601719198E+09,+7.12633139119E-01,+2.53750428679E-02,+1.85014450574E+00,+3.54102964958E-01
9.64469914040E+09,+6.72863100635E-01,+1.25387803764E-01,-1.33333317950E-01,+7.69872028773E-01
9.68338108883E+09,+5.84090278107E-01,+5.65583444127E-06,+3.98878618561E-01,-3.59844616484E-01
9.72206303725E+09,+6.47676437772E-01,-1.08555385791E-01,+1.29419923365E-01,-8.80693446414E-02
9.76074498567E+09,+7.81965251447E-01,+3.01496468049E-01,+3.16821502920E-01,+2.76830173697E+00
9.79942693410E+09,+3.01415529540E-01,-9.87877854217E-02,-2.22009719743E+00,+1.00736406641E-01
