! Planar, C4420, 00000001, 24.1.6/3
! Date: 26.09.2024 10:26:28
! Stimulus(Гц),    S21(дБ),           S21(дБ),           S21(°),            S21(°)
4.50000000000E+09,+5.05779629106E+00,+8.59657092412E+00,+2.78523597410E+01,+5.27544033876E+01
4.51002865330E+09,-5.97081720578E+00,-3.56685294299E+00,-1.22729750809E+02,-1.24533345405E+02
4.52005730659E+09,+1.10848891578E+01,-1.03345206842E+01,+5.91218678634E+00,+2.68654531831E+01
4.53008595989E+09,-1.99323404680E+00,-8.19130104972E-01,-1.50970751329E+02,+8.94902199188E+01
4.54011461318E+09,-1.10778267746E+01,-1.53013215558E+01,-1.39818260878E+02,+5.77238748751E+01
4.55014326648E+09,-1.95533664427E+00,+7.40053052084E+00,+1.43458374441E+02,+2.50166445244E+00
4.56017191977E+09,-8.72628625880E+00,-8.81398257020E+00,+7.55526909021E+01,+4.18175835730E+01
4.57020057307E+09,-5.84243424165E+00,-1.07338213167E+01,-5.82081890450E+01,-1.58396693566E+02
4.58022922636E+09,+7.54388185207E+00,+3.14910697808E+00,-1.23808410780E+02,-9.18016257555E+00
4.59025787966E+09,+3.00669755357E+00,-1.26375330895E+00,+4.59855633977E+01,+1.77468285742E+02
4.60028653295E+09,-5.68367438346E+00,-2.46899159314E+00,-9.04025819603E+00,-1.79135651204E+02
4.61031518625E+09,-1.60139584818E+01,+1.08650758829E+01,+6.32126500901E-01,+9.70211779076E+01
4.62034383954E+09,-9.98001116914E+00,+5.22973136630E+00,+1.49202609798E+02,+1.46629290885E+02
4.63037249284E+09,-3.42412931261E+00,-3.04368214466E+00,-8.68525523271E+00,-1.85364889325E+01
4.64040114613E+09,-2.95678496734E+01,-1.81272983529E+01,-1.12044648219E+02,-4.03888601105E+01
4.65042979943E+09,-1.72181349036E+00,-8.26011169992E+00,-1.56587630395E+02,+2.77100263857E+01
4.66045845272E+09,+1.89989029395E+00,+1.79646800840E+00,-1.82236209952E+00,+1.32385281275E+02
4.67048710602E+09,-8.87494838395E+00,-6.96473199118E+00,+1.28089086504E+01,-2.58365612135E+01
4.68051575931E+09,+3.74493400887E+00,+8.78796794403E+00,+1.78577720964E+02,+1.33703028648E+02
4.69054441261E+09,-1.73830916386E+01,-1.23991001284E+01,+2.51321129360E+01,+1.76682709080E+01
4.70057306590E+09,+6.65061329768E+00,+5.67509047638E+00,-9.19925215603E+01,-6.07187356489E+01
4.71060171920E+09,-3.58492069365E+00,-1.18299438537E+01,-2.16874728989E-01,+2.40031007187E+01
4.72063037249E+09,-2.14191030843E+01,-2.88486722136E+01,+1.20563330043E+01,-9.70030235616E+01
4.73065902579E+09,-5.39503450949E+00,-8.41656473475E+00,-1.71917058694E+02,+1.69220720287E+02
4.74068767908E+09,+6.62616015002E+00,+4.91570450097E+00,-2.68173859010E+01,+3.11010496251E+01
4.75071633238E+09,+2.45438846773E+01,+1.49837711744E+01,+6.74842107575E+01,+9.86542935340E+01
4.76074498567E+09,+3.68666592980E+00,-3.75804002853E+00,+1.60097219117E-01,-4.85096689449E+01
4.77077363897E+09,+5.84405145190E+00,-8.58848312333E+00,+3.50823132251E+01,+4.66996282342E+01
4.78080229226E+09,-4.39806728196E+00,+9.73705953675E+00,+8.17634470439E+01,-1.69937279800E+02
4.79083094556E+09,-1.91782700968E+01,-2.44570714528E+01,+2.76083184592E+01,+1.01634373251E+01
4.80085959885E+09,+8.88608523273E-01,+2.08062854623E+00,+1.25714794480E+02,+4.71602618859E+01
4.81088825215E+09,-6.08168525206E+00,-6.72027793253E+00,+1.64276252204E+02,-9.52634118434E+01
4.82091690544E+09,-3.85602236223E+00,+2.74633912354E+00,+5.63502492671E+01,+9.77717802446E+01
4.83094555874E+09,+1.05085579091E+01,+9.86648167851E+00,-3.11579748990E+01,-1.02544560330E+02
4.84097421203E+09,-1.21603979343E+00,-1.86744056605E+00,+6.11215869993E+01,+4.57150246944E+01
4.85100286533E+09,-1.72759076990E+01,-1.10561277840E+01,-1.54725684613E+02,-8.10728938143E+01
